ad, ad, bad, dad, fad, had, cad, lad, mad, pad, sad
ag, aɡ, bag, gag, hag, jag, lag, nag, rag, sag, tag, wag 
an, an, ban, can, dan, fan, man, nan, pan, ran, tan, van 
at, at, bat, cat, hat, fat, mat, pat, rat, sat, vat
ay, eɪ, day, fay, gay, hay, jay, lay, may, nay, pay, ray, say, way
ray, reɪ, bray, dray, fray, pray, tray, spray, stray, array
age, eɪdʒ, cage, gage, mage, page, rage, sage, wage, stage
ake, eɪk, bake, cake, hake, lake, make, rake, sake, take, wake
art, ɑːt, cart, dart, hart, mart, part, tart, start, heart, smart
ate, eɪt, date, fate, gate, hate, late, mate, rate, sate
