op, ɒp, bop, cop, fop, hop, mop, pop, sop, top 
ot, ɒt, got, hot, lot, not, cot, jot, pot, rot, sot 
ow, əʊ, blow, crow, flow, glow, grow, know, show, slow, snow, stow, throw
oy, ɔɪ, boy, coy, joy, soy, toy, cloy
oat, əʊt, boat, coat, goat, moat, bloat, float, gloat, throat, afloat
ock, ɒk, block, clock, crock, flock, frock, knock, stock, shock
